Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
509845,RJSHAH,R.J.SHAH & CO.LTD.,Active,P,10.0,INE712Z01019,,Equity
509870,SHAHCON,SHAH CONSTRUCTION CO.LTD.,Active,X,100.0,INE02C301011,,Equity
509874,SHALPAINTS,SHALIMAR PAINTS LTD.,Active,T,2.0,INE849C01026,Furniture-Furnishing-Paints,Equity
509887,SINNAR,SINNAR BIDI UDYOG LTD.,Active,XT,5.0,INE896E01023,,Equity
509895,HINDMILL,HINDOOSTAN MILLS LTD.,Active,X,10.0,INE832D01020,Textiles,Equity
509910,ZSOUTGAS,The Southern Gas Limited,Active,P,100.0,INE532U01012,,Equity
509917,TECHCON,TECHNOJET CONSULTANTS LTD.,Active,XT,10.0,INE881P01013,,Equity
509930,SUPREMEIND,SUPREME INDUSTRIES LTD.,Active,A,2.0,INE195A01028,Plastic Products,Equity
509945,THACKER,THACKER & CO.LTD.,Active,T,1.0,INE077P01034,Other Financial Services,Equity
509953,TRADWIN,TRADE WINGS LTD.,Active,XT,10.0,INE961E01017,Travel Support Services,Equity
509960,UPHOT,U.P.HOTELS LTD.,Active,B,10.0,INE726E01014,,Equity
509966,VSTIND,VST INDUSTRIES LTD.,Active,B,10.0,INE710A01016,Cigarettes-Tobacco Products,Equity
510245,SWASTIVI,SWASTI VINAYAKA SYNTHETICS LTD,Active,X,1.0,INE804A01025,Comm.Trading  & Distribution,Equity
511000,MSLGLOBAL,MSL GLOBAL LIMITED,Active,X,10.0,INE856D01011,Finance (including NBFCs),Equity
511012,YAMNINV,YAMINI INVESTMENTS COMPANY LTD,Active,XT,1.0,INE457N01025,Investment Companies,Equity
511016,PREMCAP,PREMIER CAPITAL SERVICES LTD.,Active,XT,1.0,INE946K01023,,Equity
511018,ZMILGFIN,MILGREY FINANCE & INVESTMENT L,Active,X,10.0,INE679T01013,,Equity
511034,JINDRILL,JINDAL DRILLING & INDUSTRIES L,Active,B,5.0,INE742C01031,Exploration & Production,Equity
511038,ZARCOLEA,ARCO LEASING LTD.,Active,XT,10.0,INE955S01019,Finance (including NBFCs),Equity
511048,KUSUMEL,KUSAM ELECTRICAL INDUSTRIES LT,Active,XT,10.0,INE175Q01018,Comm.Trading  & Distribution,Equity
511060,JUMBFNL,JUMBO FINANCE LTD.,Active,XT,10.0,INE122N01017,Misc.Commercial Services,Equity
511066,SAKTHIFIN,SAKTHI FINANCE LTD.,Active,X,10.0,INE302E01014,Finance (including NBFCs),Equity
511074,EASYFIN,EASY FINCORP LIMITED,Active,Z,10.0,INE407F01018,Finance (including NBFCs),Equity
511076,AEROENTER,AEROFLEX ENTERPRISES LIMITED,Active,B,2.0,INE065D01027,Comm.Trading  & Distribution,Equity
511092,JMDVL,JMD Ventures Limited,Active,XT,10.0,INE047E01031,,Equity
511096,TVOLCON,TIVOLI CONSTRUCTION LTD.,Active,XT,10.0,INE747V01014,,Equity
511108,SHIVATEX,SHIVA TEXYARN LTD.,Active,B,10.0,INE705C01020,,Equity
511110,VBDESAI,V.B.DESAI FINANCIAL SERVICES L,Active,X,10.0,INE848D01018,Finance (including NBFCs),Equity
511116,QUADRANT,QUADRANT TELEVENTURES LIMITED,Active,XT,1.0,INE527B01020,Telecom Services,Equity
511122,1STCUS,FIRST CUSTODIAN FUND (INDIA) L,Active,X,10.0,INE609B01018,Finance (including NBFCs),Equity
511131,KAMANWALA,KAMANWALA HOUSING CONSTRUCTION,Active,B,10.0,INE344D01018,Realty,Equity
511144,AXISOL,AXIS SOLUTIONS LIMITED,Active,XT,10.0,INE520G01024,,Equity
511147,WSFX,WSFX Global Pay Limited,Active,X,10.0,INE549D01012,Finance (including NBFCs),Equity
511153,ANJANIFOODS,Anjani Foods Limited,Active,XT,2.0,INE096I01021,,Equity
511169,RKDAGRRTL,RKD AGRI AND RETAIL LIMITED,Active,X,1.0,INE552N01023,,Equity
511176,PARSHWANA,PARSHWANATH CORPORATION LTD.,Active,X,10.0,INE635I01018,Realty,Equity
511185,RAJVI,RAJVI LOGITRADE LIMITED,Active,X,10.0,INE381N01019,Finance (including NBFCs),Equity
511187,MILLENNIUM,Millennium Online Solutions (I,Active,X,1.0,INE570N01025,Misc.Commercial Services,Equity
511194,ICDSLTD,ICDS LTD.,Active,B,10.0,INE613B01010,,Equity
511196,CANFINHOME,CAN FIN HOMES LTD.,Active,A,2.0,INE477A01020,,Equity
511200,MUNCAPM,MUNOTH CAPITAL MARKET LTD.,Active,XT,5.0,INE910G01027,Misc.Commercial Services,Equity
511208,IVC,IL&FS INVESTMENT MANAGERS LTD.,Active,B,2.0,INE050B01023,Asset Management Cos.,Equity
511218,SHRIRAMFIN,Shriram Finance Limited,Active,A,2.0,INE721A01047,,Equity
511243,CHOLAFIN,CHOLAMANDALAM INVESTMENT AND F,Active,A,2.0,INE121A01024,,Equity
